ID;Főváros / megye;Település;Szavazókör;Szavazókör címe;Szélességi fok; Hosszúsági fok
0;BUDAPEST;Budapest I. ker.;1;Budapest, Úri u. 38, 1014 Hungary;47,5012948;19,0318817
1;BUDAPEST;Budapest I. ker.;2;Budapest, Tárnok u. 9, 1014 Hungary;47,5007419;19,0344572
2;BUDAPEST;Budapest I. ker.;3;Budapest, Bem rkp. 6, 1011 Hungary;47,500565;19,040041
3;BUDAPEST;Budapest I. ker.;4;Budapest, Fő u. 31, 1011 Hungary;47,5041602;19,0383965
4;BUDAPEST;Budapest I. ker.;5;Budapest, Toldy Ferenc u. 9, 1015 Hungary;47,5045983;19,0357247
5;BUDAPEST;Budapest I. ker.;6;Budapest, Toldy Ferenc u. 66, 1015 Hungary;47,5067843;19,0313639
6;BUDAPEST;Budapest I. ker.;7;Budapest, Batthyány u. 8, 1015 Hungary;47,5066295;19,0358044
7;BUDAPEST;Budapest I. ker.;8;Budapest, Hattyú u. 16, 1015 Hungary;47,5076919;19,0281362
8;BUDAPEST;Budapest I. ker.;9;Budapest, Attila út 135, 1012 Hungary;47,5045658;19,0249903
9;BUDAPEST;Budapest I. ker.;10;Budapest, Attila út 135, 1012 Hungary;47,5045658;19,0249903
10;BUDAPEST;Budapest I. ker.;11;Budapest, Attila út 89, 1012 Hungary;47,4999747;19,0302289
11;BUDAPEST;Budapest I. ker.;12;Budapest, Attila út 43, 1013 Hungary;47,4960923;19,0355218
12;BUDAPEST;Budapest I. ker.;13;Budapest, Mészáros u. 5-7, 1016 Hungary;47,4962758;19,0300097
13;BUDAPEST;Budapest I. ker.;14;Budapest, Mészáros u. 5-7, 1016 Hungary;47,4962758;19,0300097
14;BUDAPEST;Budapest I. ker.;15;Budapest, Attila út 43, 1013 Hungary;47,4960923;19,0355218
15;BUDAPEST;Budapest I. ker.;16;Budapest, Nyárs u. 2-4, 1016 Hungary;47,4932509;19,0306006
16;BUDAPEST;Budapest I. ker.;17;Budapest, Lisznyai u. 40, 1016 Hungary;47,49246;19,0359908
17;BUDAPEST;Budapest I. ker.;18;Budapest, Döbrentei utca 15, 1013 Hungary;47,492244;19,0444
