FideszKDNP,Osszefogas,Jobbik,LMP
395,244,68,123
349,252,44,98
354,187,58,77
364,206,43,89
327,230,49,108
389,237,43,134
338,202,43,77
291,249,42,106
403,230,68,101
329,273,67,86
350,248,48,131
360,236,56,119
422,220,59,115
314,252,50,112
339,252,51,97
350,211,53,119
329,269,54,121
364,265,52,97
330,204,62,106
313,287,31,92
393,277,59,71
339,261,40,67
210,203,38,42
357,273,48,68
266,392,35,71
337,275,46,39
288,327,35,58
364,295,26,39
288,292,33,64
1057,891,152,234
218,215,20,50
388,400,24,76
263,213,26,49
268,281,23,55
352,259,8,59
360,304,30,47
265,321,46,61
291,306,30,49
291,306,19,51
295,301,21,51
239,213,20,40
346,297,30,36
292,361,24,62
339,320,50,50
368,234,33,57
348,282,17,56
314,249,14,45
273,240,46,38
268,232,24,34
184,222,16,51
464,400,48,62
401,275,40,64
345,274,32,60
281,207,31,44
385,216,42,64
352,274,36,60
361,242,37,79
399,239,61,72
313,216,57,57
319,187,47,56
301,173,50,64
276,249,53,47
306,209,51,67
367,245,67,72
353,215,51,51
367,255,46,61
368,243,48,44
394,234,46,48
327,245,43,69
458,380,75,96
376,206,37,53
260,189,37,58
328,201,37,44
463,330,49,94
325,257,31,89
287,228,42,53
252,251,38,59
298,270,46,63
207,233,32,56
264,315,50,76
303,275,34,98
188,193,38,54
273,241,29,74
294,253,39,72
321,226,40,84
356,239,53,83
303,197,37,52
289,249,47,54
340,213,47,70
288,217,47,76
304,278,47,51
335,270,60,73
354,282,38,89
279,243,44,61
240,238,41,46
230,275,45,60
267,206,74,71
223,198,61,65
317,220,55,87
253,267,75,42
196,214,54,63
246,253,48,48
303,258,35,61
299,291,57,72
396,259,45,55
311,309,43,64
285,281,40,73
271,235,44,47
299,234,44,46
298,260,52,50
326,246,65,51
335,257,62,83
312,221,89,58
263,176,53,48
297,197,58,39
262,248,35,73
258,226,64,65
214,208,73,38
256,214,40,67
284,244,52,45
271,192,80,47
334,195,62,40
263,245,74,42
207,206,75,49
246,301,69,52
207,238,63,40
181,249,74,53
202,245,52,42
209,260,60,47
275,236,64,59
195,230,55,47
202,235,93,44
159,221,66,40
175,206,72,48
118,117,34,25
218,281,95,52
284,280,74,71
239,236,99,34
242,315,80,59
582,596,213,169
199,250,73,44
224,238,74,59
232,257,79,40
224,196,61,52
245,210,54,53
212,195,60,58
265,268,68,71
211,277,81,37
216,216,82,40
189,258,90,34
175,191,89,57
221,236,61,91
176,235,87,60
204,258,98,71
204,238,82,39
213,178,100,59
193,205,70,70
255,318,87,65
197,227,95,50
175,280,88,60
254,263,55,54
241,261,68,68
235,277,84,71
257,289,73,97
221,259,98,100
249,280,65,84
271,289,73,85
199,281,45,70
278,288,65,92
269,297,72,80
290,187,50,69
312,257,57,101
286,219,63,65
284,222,62,90
320,299,91,96
303,259,81,88
288,230,78,61
176,264,94,48
202,195,110,25
186,239,74,54
198,273,118,49
229,205,106,37
216,172,115,36
197,212,75,33
239,239,121,44
240,231,111,44
208,150,80,48
160,211,77,40
257,235,115,42
208,245,115,51
143,161,94,40
247,222,93,43
184,170,101,45
183,197,105,26
197,208,104,45
215,231,106,39
227,163,84,39
186,199,90,35
198,264,85,44
202,235,90,46
200,238,86,58
211,175,114,53
184,228,68,55
189,225,92,29
184,206,95,33
197,298,67,49
253,345,88,82
222,292,112,78
319,288,52,111
191,276,105,61
204,230,106,56
220,337,101,57
173,313,96,71
191,337,109,67
213,240,107,53
221,293,112,46
214,361,87,63
182,313,91,57
204,302,64,63
313,244,69,40
283,206,70,36
232,254,61,46
207,268,86,40
278,304,95,68
213,233,73,41
195,260,75,47
184,218,95,54
170,233,88,33
176,175,115,47
210,252,84,32
168,163,97,26
236,257,75,34
263,260,70,34
251,329,81,65
235,227,68,46
238,305,72,63
172,165,72,43
200,285,47,64
241,307,87,61
221,175,60,23
204,169,77,34
292,226,69,34
299,208,90,53
223,197,58,37
309,242,73,50
178,104,49,21
181,142,72,49
221,167,93,38
170,174,77,40
205,151,72,44
235,223,75,34
216,227,73,38
697,601,225,142
215,218,49,49
180,268,72,49
213,229,91,39
197,279,97,44
211,228,52,57
199,183,60,32
200,223,66,36
234,279,70,31
236,204,72,56
222,312,66,47
228,278,76,54
214,206,70,28
200,241,73,31
191,181,72,29
234,234,78,36
224,208,82,27
197,243,65,38
210,209,75,38
245,243,80,31
214,199,103,43
233,210,86,47
208,273,95,39
190,240,56,47
244,201,80,41
259,298,69,40
277,267,84,59
262,267,103,55
188,196,71,64
250,249,111,63
219,316,100,42
244,251,89,36
211,213,102,55
197,253,84,43
279,182,95,39
216,239,90,31
230,218,110,42
347,218,36,88
302,176,32,55
316,149,41,62
360,227,43,92
374,210,48,84
337,177,39,73
337,198,49,53
1412,948,264,491
307,239,39,85
208,138,30,47
174,145,27,37
333,251,40,113
348,236,74,74
328,238,63,81
332,191,60,90
316,225,43,45
326,259,16,87
341,268,38,78
305,290,40,104
299,334,40,70
394,245,46,93
246,254,50,73
233,207,48,71
149,154,61,44
220,220,35,56
286,273,53,64
157,234,39,63
178,175,49,42
294,299,58,99
161,172,24,34
231,208,56,68
188,231,62,60
197,170,58,51
260,304,96,91
180,190,49,49
239,237,55,105
253,236,79,80
221,215,75,81
214,160,60,71
233,175,59,69
216,214,60,78
266,238,52,65
300,282,91,93
217,220,53,74
248,219,51,58
198,205,44,52
177,201,37,55
254,247,80,86
196,231,51,55
277,317,61,109
163,233,33,70
212,282,33,52
162,198,53,67
190,221,73,75
182,207,56,60
225,366,84,83
299,295,65,89
288,263,61,98
238,282,65,76
222,258,74,63
147,129,35,39
1062,893,270,408
264,295,57,64
192,228,61,86
258,339,88,110
235,257,71,72
270,309,69,91
297,260,82,93
247,252,73,84
252,263,74,68
233,246,69,69
280,292,76,85
267,232,73,69
295,245,87,76
329,300,58,89
310,334,74,97
294,224,92,88
257,241,84,81
277,275,65,87
240,279,81,87
237,263,98,81
263,276,62,87
251,231,112,64
286,282,86,103
267,265,80,74
280,269,93,78
258,214,93,58
235,237,70,74
230,233,85,57
281,203,52,89
223,191,60,75
249,169,43,76
184,150,43,84
246,212,36,98
206,161,32,69
288,288,70,70
198,213,54,38
320,211,57,99
231,204,44,73
317,267,87,85
172,165,48,58
