Főváros / megye;Település;Szavazókör;Szavazókör címe;
BUDAPEST;Budapest I.ker.;001;Úri u. 38. (Önkormányzat intézménye);
BUDAPEST;Budapest I.ker.;002;Tárnok u. 9-11. (Budavári Általános Iskola);
BUDAPEST;Budapest I.ker.;003;Bem rkp. 6. (Budavári Mûvelõdési Ház);Átjelentkezõk és településszintû lakosok részére kijelölt
BUDAPEST;Budapest I.ker.;004;Fõ u. 31. (III. sz. Idõsek Klubja);
BUDAPEST;Budapest I.ker.;005;Toldy F. u. 9. (Toldy Ferenc Gimnázium);
BUDAPEST;Budapest I.ker.;006;Toldy F. u. 66. (Vízivárosi Óvoda);
BUDAPEST;Budapest I.ker.;007;Batthyány u. 8. (Batthyány Általános Iskola);
BUDAPEST;Budapest I.ker.;008;Hattyú u. 16. (I. sz. Idõsek Klubja);
BUDAPEST;Budapest I.ker.;009;Attila út 135-137. (Kosztolányi Általános Iskola);
BUDAPEST;Budapest I.ker.;010;Attila út 135-137. (Kosztolányi Általános Iskola);
BUDAPEST;Budapest I.ker.;011;Attila út 89. (Szociális Szolgáltatási Központ);
BUDAPEST;Budapest I.ker.;012;Attila út 43. (Petõfi Gimnázium);
BUDAPEST;Budapest I.ker.;013;Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium);
BUDAPEST;Budapest I.ker.;014;Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium);
BUDAPEST;Budapest I.ker.;015;Attila út 43. (Petõfi Gimnázium);
BUDAPEST;Budapest I.ker.;016;Nyárs u. 2-4. (Naphegyi Óvoda);
BUDAPEST;Budapest I.ker.;017;Lisznyai u. 40-42. (Általános Iskola);
BUDAPEST;Budapest I.ker.;018;Döbrentei u. 15. (Mesemúzeum);
BUDAPEST;Budapest I.ker.;019;Zsolt utca 6/A. (Felnõtt Háziorvosi Rendelõ);
BUDAPEST;Budapest I.ker.;020;Bérc u. 13-15. (Magyar Külügyi Intézet);
BUDAPEST;Budapest II.ker.;001;Ürömi u. 64.  (Újlaki Ált. Isk.);
BUDAPEST;Budapest II.ker.;002;Lajos u. 1-5. (Than Károly Gimn. );
BUDAPEST;Budapest II.ker.;003;Lajos u. 1-5. (Than Károly Gimn.);
BUDAPEST;Budapest II.ker.;004;Bolyai u. 15. (Óvoda );
BUDAPEST;Budapest II.ker.;005;Áldás u. 1.  (Ált. Iskola);
BUDAPEST;Budapest II.ker.;006;Ürömi u.64. (Újlaki  Ált. Isk.);
BUDAPEST;Budapest II.ker.;007;Törökvész út 18. (Kézmûv. Óvoda);
BUDAPEST;Budapest II.ker.;008;Áldás u.1. (Ált.Isk.);
BUDAPEST;Budapest II.ker.;009;Áldás u. 1. (Ált.Isk.);
BUDAPEST;Budapest II.ker.;010;Felvinci út 6-8. (Kollégium);
BUDAPEST;Budapest II.ker.;011;Keleti K. u. 37. (II. Rákóczi F.Gimn.);Átjelentkezõk és településszintû lakosok részére kijelölt
BUDAPEST;Budapest II.ker.;012;Fillér u. 70-76. (Fillér Ált. Isk.);
BUDAPEST;Budapest II.ker.;013;Pasaréti út 41. (Bölcsõde);
BUDAPEST;Budapest II.ker.;014;Fillér utca 70-76. (Fillér Ált. Isk.);
BUDAPEST;Budapest II.ker.;015;Fillér u. 70-76. (Fillér Ált. Isk.);
BUDAPEST;Budapest II.ker.;016;Törökvész út 18. (Kézmûv. Óvoda);
BUDAPEST;Budapest II.ker.;017;Pitypang u. 17. (Ált. Isk.);
BUDAPEST;Budapest II.ker.;018;Törökvész út 67. (Ált. Isk.);
BUDAPEST;Budapest II.ker.;019;Törökvész út 48-54. (Móricz Zs. Gimn.);
BUDAPEST;Budapest II.ker.;020;Fenyves u. 1. (Ált. Isk.);
BUDAPEST;Budapest II.ker.;021;Hûvösvölgyi út 12/B. (Bölcsõde);
BUDAPEST;Budapest II.ker.;022;Törökvész út 48-54. (Móricz Zs. Gimn.);
BUDAPEST;Budapest II.ker.;023;Pitypang u.17. (Óvoda);
BUDAPEST;Budapest II.ker.;024;Pitypang u.17. (Óvoda);
BUDAPEST;Budapest II.ker.;025;Pitypang u. 17. (Ált.Isk.);
BUDAPEST;Budapest II.ker.;026;Törökvész út 67. (Ált.Isk.);
BUDAPEST;Budapest II.ker.;027;Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;028;Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;029;Hûvösvölgyi út 12/B. (Bölcsõde);
BUDAPEST;Budapest II.ker.;030;Hûvösvölgyi út 12/B. (Bölcsõde);
BUDAPEST;Budapest II.ker.;031;Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;032;Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;033;Völgy u. 1-3. (Óvoda);
BUDAPEST;Budapest II.ker.;034;Völgy u. 1-3. (Óvoda);
BUDAPEST;Budapest II.ker.;035;Máriaremetei út 71. (Ált. Isk.);
BUDAPEST;Budapest II.ker.;036;Kossuth L. u. 15-17. (Ált. Isk.);
BUDAPEST;Budapest II.ker.;037;Kossuth L. u. 15-17.  (Ált. Isk.);
BUDAPEST;Budapest II.ker.;038;Kossuth L. u. 15-17. (Ált. Isk.);
BUDAPEST;Budapest II.ker.;039;Templom u. 2-10. (Klebelsberg K. Mûv. Közp.);
BUDAPEST;Budapest II.ker.;040;Templom u. 2-10. (Klebelsberg K. Mûv. Közp.);
BUDAPEST;Budapest II.ker.;041;Templom u. 2-10.  (Klebelsberg K. Mûv. Közp.);
BUDAPEST;Budapest II.ker.;042;József A. útja 68. (Dettó Bisztró);
BUDAPEST;Budapest II.ker.;043;Hímes u. 3. (Cserkészház);
BUDAPEST;Budapest II.ker.;044;Szabadság út 23. (Klebelsberg K. Ált.Isk. és Gimn);
BUDAPEST;Budapest II.ker.;045;Máriaremetei út 185. (Óvoda);
BUDAPEST;Budapest II.ker.;046;Szabadság út 23. (Klebelsberg K. Ált.Isk. és Gimn);
BUDAPEST;Budapest II.ker.;047;Máriaremetei út 185. (Óvoda);
BUDAPEST;Budapest II.ker.;048;Máriaremetei út 71. (Ált. Isk.);
BUDAPEST;Budapest II.ker.;049;Kútföldi út 1. (Közösségi Ház);
BUDAPEST;Budapest II.ker.;050;Labanc u. 2. (Óvoda);
BUDAPEST;Budapest II.ker.;051;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;052;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;053;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;054;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.);
BUDAPEST;Budapest II.ker.;055;Pasaréti út 41. (Bölcsõde);
BUDAPEST;Budapest II.ker.;056;Érmelléki út 12. (Óvoda);
BUDAPEST;Budapest II.ker.;057;Érmelléki út 12. (Óvoda);
