választókerület;szavazókör;Fidesz-KDNP;Összefogás;Jobbik;LMP;megjelent;összes választó;Szavazókör címe
k01;sz0001;395;244;68;123;839;1054;Úri u. 38. (Önkormányzat intézménye)
k01;sz0002;349;252;44;98;756;1009;Tárnok u. 9-11. (Budavári Általános Iskola)
k01;sz0003;354;187;58;77;689;1064;Bem rkp. 6. (Budavári Mûvelõdési Ház)
k01;sz0004;364;206;43;89;720;990;Fõ u. 31. (III. sz. Idõsek Klubja)
k01;sz0005;327;230;49;108;727;964;Toldy F. u. 9. (Toldy Ferenc Gimnázium)
k01;sz0006;389;237;43;134;813;1073;Toldy F. u. 66. (Vízivárosi Óvoda)
k01;sz0007;338;202;43;77;671;943;Batthyány u. 8. (Batthyány Általános Iskola)
k01;sz0008;291;249;42;106;700;926;Hattyú u. 16. (I. sz. Idõsek Klubja)
k01;sz0009;403;230;68;101;811;1097;Attila út 135-137. (Kosztolányi Általános Iskola)
k01;sz0010;329;273;67;86;768;1002;Attila út 135-137. (Kosztolányi Általános Iskola)
k01;sz0011;350;248;48;131;787;1031;Attila út 89. (Szociális Szolgáltatási Központ)
k01;sz0012;360;236;56;119;791;1059;Attila út 43. (Petõfi Gimnázium)
k01;sz0013;422;220;59;115;826;1073;Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium)
k01;sz0014;314;252;50;112;744;996;Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium)
k01;sz0015;339;252;51;97;752;991;Attila út 43. (Petõfi Gimnázium)
k01;sz0016;350;211;53;119;743;959;Nyárs u. 2-4. (Naphegyi Óvoda)
k01;sz0017;329;269;54;121;783;1042;Lisznyai u. 40-42. (Általános Iskola)
k01;sz0018;364;265;52;97;786;1031;Döbrentei u. 15. (Mesemúzeum)
k01;sz0019;330;204;62;106;708;952;Zsolt utca 6/A. (Felnõtt Háziorvosi Rendelõ)
k01;sz0020;313;287;31;92;734;984;Bérc u. 13-15. (Magyar Külügyi Intézet)
