,District,Type,Total Area Count,Wrong Area Ratio
0,2,map,71,0.23943661971830985
1,2,map,80,0.0375
2,2,map,79,0.10126582278481013
3,2,map,79,0.16455696202531644
4,2,map,68,0.04411764705882353
5,2,map,85,0.03529411764705882
6,2,map,87,0.011494252873563218
7,2,map,83,0.07228915662650602
8,2,map,100,0.1
9,2,map,82,0.036585365853658534
10,2,map,83,0.04819277108433735
11,2,map,83,0.024096385542168676
12,2,map,77,0.1038961038961039
13,2,map,82,0.07317073170731707
14,2,map,76,0.013157894736842105
15,2,map,88,0.056818181818181816
16,2,map,94,0.02127659574468085
17,2,map,75,0.05333333333333334
